Var1,Var2,obs,exp,n,pmr
T68,T699,16,1.78,118,8.98876404494382
C509,I119,11,1.23,78,8.94308943089431
A419,Y834,10,1.14,85,8.771929824561404
G935,I48,23,2.64,190,8.712121212121211
E149,G935,10,1.15,97,8.695652173913045
I269,R263,26,3.0100000000000002,214,8.637873754152823
I10,R55,45,5.24,326,8.587786259541984
F03,I516,57,6.67,385,8.545727136431784
I119,J439,39,4.63,389,8.423326133909287
I250,N185,9,1.07,84,8.411214953271028
F03,H353,12,1.43,74,8.391608391608392
I250,R568,10,1.21,87,8.264462809917356
I350,M819,12,1.46,77,8.219178082191782
I679,M819,9,1.1,60,8.181818181818182
I119,J180,9,1.13,81,7.964601769911505
I119,R568,9,1.1300000000000001,89,7.9646017699115035
I119,N390,20,2.52,164,7.936507936507937
I119,I679,16,2.03,133,7.881773399014779
I119,J189,36,4.6000000000000005,302,7.826086956521738
I250,I64,41,5.28,354,7.765151515151515
F179,I250,210,27.23,2082,7.712082262210797
I48,M819,103,13.37,742,7.703814510097233
I250,K922,11,1.43,98,7.6923076923076925
E669,I269,15,1.98,186,7.575757575757576
G935,J969,15,2,159,7.5
I10,Y839,16,2.14,158,7.4766355140186915
I10,T818,16,2.17,149,7.373271889400922
